BlockId,NumEvents,Label,Pipeline_Prediction,Pipeline_Explanation,Pipeline_Confidence
blk_-3009375617770940708,13,0,0,stable-cycle,0.91
blk_7183566620789659043,13,0,0,consistent-events,0.89
blk_-5398865867285538481,13,0,0,no-anomaly,0.92
blk_6866437495408466341,13,0,0,balanced-load,0.90
blk_-55630469942090497,13,0,0,benign-activity,0.89
blk_-439553142940473726,13,0,0,low-variance,0.91
blk_984344016805281800,13,0,0,regular-pattern,0.92
blk_-6451481066416869394,13,0,0,consistent-flow,0.90
blk_-7086735329275631321,13,0,0,steady-operation,0.92
blk_-7430595320512999486,13,0,0,no-deviation,0.91
blk_-4152766882909210815,13,0,0,normal-block,0.88
blk_-4069087448078482387,13,0,0,expected-pattern,0.90
blk_-8296880933210608104,13,0,0,stable-signals,0.89
blk_-5737226399349430530,13,0,0,low-risk,0.88
blk_1341623608879513996,13,0,0,benign-logs,0.92
blk_-4445849221383598845,13,0,0,typical-events,0.90
blk_-533210835770446829,13,0,0,clean-sequence,0.89
blk_4605973202398610041,13,0,0,no-symptoms,0.91
blk_2342220141680518439,13,0,0,normal-flow,0.90
blk_6654063595994991509,13,0,0,low-variation,0.92
blk_-8211465725934141889,13,0,0,consistent-pattern,0.89
blk_7762399961074132266,13,0,0,benign,0.90
blk_65484179986302964,13,0,0,standard-logs,0.91
blk_-6016419927344806254,13,0,0,no-anomaly,0.92
blk_8507581906735355147,13,0,1,odd-replica-behavior,0.66
blk_7959846212288823481,13,0,1,unexpected-traffic,0.72
blk_-8284328754653595860,13,0,1,late-write,0.70
blk_-1559690858566389454,13,0,1,receiver-imbalance,0.68
blk_1475959946638311826,13,0,1,timing-outlier,0.65
blk_-2792935853305331615,13,0,1,pattern-gap,0.71
blk_5380593491740074714,14,0,0,normal-sequence,0.88
blk_-7424651858149715762,14,0,0,clean-pattern,0.90
blk_-4856764023353422443,14,0,1,rare-event-spike,0.67
blk_-8588230903310885315,15,0,0,benign-block-flow,0.87
blk_9005594748879624622,13,0,0,steady-pattern,0.91
blk_6182135678281034149,13,0,0,normal-cycle,0.89
blk_-3232238827747651200,13,0,0,expected-traffic,0.92
blk_5473735715758771251,13,0,0,stable-pattern,0.91
blk_116439114650155937,13,0,1,high-variance,0.69
blk_-1051183647010524801,13,0,1,unexpected-flow,0.70
blk_2298072726739764001,13,0,1,late-replication,0.72
blk_-7395604080089833063,13,0,1,rare-timing-shift,0.68
blk_-6300535047327763733,13,0,1,unusual-sequence,0.73
blk_2810430719974764986,14,0,0,low-risk-pattern,0.86
blk_-2276466771376002171,13,0,0,normal-flow,0.90
blk_-4746839249994012299,13,0,0,benign-logs,0.92
blk_79344661587814189,13,0,0,standard-block,0.89
blk_845619111872659887,14,0,0,consistent-cycle,0.87
blk_7283040781718105945,13,0,1,odd-event-gap,0.71
blk_7682893831399115890,13,0,0,normal-behavior,0.92
blk_6309418393114897475,16,0,0,expected-replication,0.88
blk_-6869109743241938944,13,0,0,clean-flow,0.89
blk_4298455669642651545,13,0,1,abrupt-switch,0.70
blk_-6618124016448099417,13,0,0,benign-events,0.91
